,tbl_no,indicator,survey_id,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up,geog_type,area_name,area_type,district_code,district_name,province_name
684,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,9,0,0,0,1,4,4,4,8,9,7,7,1,0,geog_1,Mir Ali Tehsil,Rural,29,North Waziristan,Fata
685,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Gharyum Tehsil,Urban,29,North Waziristan,Fata
686,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mir Ali Tehsil,Urban,29,North Waziristan,Fata
687,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,2,0,0,0,0,0,0,2,2,2,2,2,0,0,geog_1,Miran Shah Tehsil,Rural,29,North Waziristan,Fata
688,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Spinwam Tehsil,Urban,29,North Waziristan,Fata
689,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Razmak Tehsil,Urban,29,North Waziristan,Fata
690,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Datta Khel Tehsil,Urban,29,North Waziristan,Fata
691,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,7,0,0,0,0,1,1,1,6,7,7,7,0,0,geog_1,Datta Khel Tehsil,Rural,29,North Waziristan,Fata
692,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,3,0,0,0,0,2,2,2,2,3,3,3,1,0,geog_1,Spinwam Tehsil,Rural,29,North Waziristan,Fata
693,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Miran Shah Tehsil,Urban,29,North Waziristan,Fata
694,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,1,0,0,0,0,0,0,0,0,1,1,1,0,0,geog_1,Razmak Tehsil,Rural,29,North Waziristan,Fata
695,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,3,0,0,0,0,0,0,0,2,2,2,3,1,1,geog_1,Shewa Tehsil,Rural,29,North Waziristan,Fata
696,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,2,0,0,0,0,1,1,2,2,2,2,2,0,0,geog_1,Dossali Tehsil,Rural,29,North Waziristan,Fata
697,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,5,0,0,0,0,2,2,3,5,5,5,5,0,0,geog_1,Gharyum Tehsil,Rural,29,North Waziristan,Fata
698,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Dossali Tehsil,Urban,29,North Waziristan,Fata
699,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,1,0,0,0,0,1,1,1,1,1,1,1,0,0,geog_1,Ghulam Khan Tehsil,Rural,29,North Waziristan,Fata
700,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Central Tehsil,Urban,30,Orakzai,Fata
701,tbl_05,Gender_Age_Group_Population,Census2017,Female,31582,917,5342,10737,15904,15096,5319,8032,13699,15733,13419,14575,1276,730,geog_1,Upper Tehsil,Rural,30,Orakzai,Fata
702,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ismail Zai Tehsil,Urban,30,Orakzai,Fata
703,tbl_05,Gender_Age_Group_Population,Census2017,Male,12058,357,1991,4116,6134,6098,2246,3174,5144,5859,4888,5421,590,356,geog_1,Ismail Zai Tehsil,Rural,30,Orakzai,Fata
704,tbl_05,Gender_Age_Group_Population,Census2017,Male,32299,979,5592,11646,17309,16283,5310,7726,12917,14773,12396,13788,1510,961,geog_1,Upper Tehsil,Rural,30,Orakzai,Fata
705,tbl_05,Gender_Age_Group_Population,Census2017,Male,53767,1626,10516,20716,29155,26633,9174,12912,21068,24402,20536,22629,2267,1390,geog_1,Lower Tehsil,Rural,30,Orakzai,Fata
706,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Central Tehsil,Urban,30,Orakzai,Fata
707,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Central Tehsil,Urban,30,Orakzai,Fata
708,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Lower Tehsil,Urban,30,Orakzai,Fata
709,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ismail Zai Tehsil,Urban,30,Orakzai,Fata
710,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,6,0,0,0,0,2,2,4,5,6,6,6,0,0,geog_1,Lower Tehsil,Rural,30,Orakzai,Fata
711,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,4,0,0,0,0,0,0,0,2,3,3,4,1,1,geog_1,Upper Tehsil,Rural,30,Orakzai,Fata
712,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,1,0,0,0,0,0,0,0,1,1,1,1,0,0,geog_1,Central Tehsil,Rural,30,Orakzai,Fata
713,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Upper Tehsil,Urban,30,Orakzai,Fata
714,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Upper Tehsil,Urban,30,Orakzai,Fata
715,tbl_05,Gender_Age_Group_Population,Census2017,Female,11905,287,1885,3785,5668,5847,2370,3335,5431,6235,5286,5757,531,308,geog_1,Ismail Zai Tehsil,Rural,30,Orakzai,Fata
716,tbl_05,Gender_Age_Group_Population,Census2017,Female,29691,843,5497,10758,15163,14341,5273,7480,12446,14384,12287,13378,1257,742,geog_1,Central Tehsil,Rural,30,Orakzai,Fata
717,tbl_05,Gender_Age_Group_Population,Census2017,Female,53550,1583,10019,19254,27073,24855,8963,13698,22920,26318,22548,24491,2126,1321,geog_1,Lower Tehsil,Rural,30,Orakzai,Fata
718,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Lower Tehsil,Urban,30,Orakzai,Fata
719,tbl_05,Gender_Age_Group_Population,Census2017,Male,29440,937,5951,11686,16391,14641,4850,6886,11108,12883,10798,12008,1319,815,geog_1,Central Tehsil,Rural,30,Orakzai,Fata
720,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Lower Tehsil,Urban,30,Orakzai,Fata
721,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Upper Tehsil,Urban,30,Orakzai,Fata
722,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ismail Zai Tehsil,Urban,30,Orakzai,Fata
723,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ismail Zai Tehsil,Rural,30,Orakzai,Fata
724,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Makin Tehsil,Urban,31,South Waziristan,Fata
725,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Serwekai Tehsil,Urban,31,South Waziristan,Fata
726,tbl_05,Gender_Age_Group_Population,Census2017,Female,21507,606,3845,7681,10878,10117,3455,5014,8851,10417,9127,10063,1052,583,geog_1,Tiarza Tehsil,Rural,31,South Waziristan,Fata
727,tbl_05,Gender_Age_Group_Population,Census2017,Female,53080,1224,9031,18204,25728,24850,9140,13376,23536,27007,23537,25599,2247,1332,geog_1,Ladha Tehsil,Rural,31,South Waziristan,Fata
728,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Tiarza Tehsil,Urban,31,South Waziristan,Fata
729,tbl_05,Gender_Age_Group_Population,Census2017,Male,27462,607,4569,9699,14407,14375,5251,7086,11502,13039,11020,12011,1086,730,geog_1,Toi Khulla Tehsil,Rural,31,South Waziristan,Fata
730,tbl_05,Gender_Age_Group_Population,Census2017,Male,28695,739,5279,10753,15275,13906,4491,6505,11417,13190,11318,12567,1338,811,geog_1,Serwekai Tehsil,Rural,31,South Waziristan,Fata
731,tbl_05,Gender_Age_Group_Population,Census2017,Male,57755,1329,9707,20110,29140,27985,9712,13804,24032,27995,24017,26732,2910,1780,geog_1,Ladha Tehsil,Rural,31,South Waziristan,Fata
732,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Makin Tehsil,Urban,31,South Waziristan,Fata
733,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sararogha Tehsil,Urban,31,South Waziristan,Fata
734,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ladha Tehsil,Urban,31,South Waziristan,Fata
735,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Birmil Tehsil,Urban,31,South Waziristan,Fata
736,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Wana Tehsil,Urban,31,South Waziristan,Fata
737,tbl_05,Gender_Age_Group_Population,Census2017,Male,51479,1519,9297,18616,26580,24851,8524,12304,20911,24239,20863,23313,2606,1616,geog_1,Sararogha Tehsil,Rural,31,South Waziristan,Fata
738,tbl_05,Gender_Age_Group_Population,Census2017,Male,54323,1617,10832,22076,31174,28618,9583,12849,20327,23239,19565,21312,1991,1217,geog_1,Birmil Tehsil,Rural,31,South Waziristan,Fata
739,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Serwekai Tehsil,Urban,31,South Waziristan,Fata
740,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Makin Tehsil,Urban,31,South Waziristan,Fata
741,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Birmil Tehsil,Urban,31,South Waziristan,Fata
742,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sararogha Tehsil,Urban,31,South Waziristan,Fata
743,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,7,0,0,0,1,2,2,3,5,6,5,6,1,1,geog_1,Ladha Tehsil,Rural,31,South Waziristan,Fata
744,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Toi Khulla Tehsil,Urban,31,South Waziristan,Fata
745,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sararogha Tehsil,Urban,31,South Waziristan,Fata
746,tbl_05,Gender_Age_Group_Population,Census2017,Female,71796,1670,13166,26641,37763,35701,12817,17737,29758,34003,28864,31410,2950,1743,geog_1,Wana Tehsil,Rural,31,South Waziristan,Fata
747,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Birmil Tehsil,Urban,31,South Waziristan,Fata
748,tbl_05,Gender_Age_Group_Population,Census2017,Female,27738,558,4470,9269,13424,13356,4945,7131,12409,14132,12352,13429,1159,725,geog_1,Makin Tehsil,Rural,31,South Waziristan,Fata
749,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Wana Tehsil,Urban,31,South Waziristan,Fata
750,tbl_05,Gender_Age_Group_Population,Census2017,Female,22947,550,4374,8678,11950,10924,3759,5360,9456,10854,9431,10224,917,554,geog_1,Toi Khulla Tehsil,Rural,31,South Waziristan,Fata
751,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Toi Khulla Tehsil,Urban,31,South Waziristan,Fata
752,tbl_05,Gender_Age_Group_Population,Census2017,Female,25844,677,4856,9545,13224,11926,4035,6017,10756,12411,10846,11908,1153,686,geog_1,Serwekai Tehsil,Rural,31,South Waziristan,Fata
753,tbl_05,Gender_Age_Group_Population,Census2017,Female,46694,1406,8436,16600,23379,21910,7873,11524,19608,22755,19651,21814,2320,1466,geog_1,Sararogha Tehsil,Rural,31,South Waziristan,Fata
754,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ladha Tehsil,Urban,31,South Waziristan,Fata
755,tbl_05,Gender_Age_Group_Population,Census2017,Female,49948,1603,10567,20147,27230,23945,8227,11786,19748,22578,19512,21121,1825,1085,geog_1,Birmil Tehsil,Rural,31,South Waziristan,Fata
756,tbl_05,Gender_Age_Group_Population,Census2017,Male,30906,659,5038,10344,14975,14715,5391,7941,13686,15660,13662,14977,1399,884,geog_1,Makin Tehsil,Rural,31,South Waziristan,Fata
757,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Toi Khulla Tehsil,Urban,31,South Waziristan,Fata
758,tbl_05,Gender_Age_Group_Population,Census2017,Male,23649,684,4038,8446,12229,11651,3895,5657,9564,11046,9554,10764,1311,809,geog_1,Tiarza Tehsil,Rural,31,South Waziristan,Fata
759,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Tiarza Tehsil,Urban,31,South Waziristan,Fata
760,tbl_05,Gender_Age_Group_Population,Census2017,Male,81342,1888,13333,28554,42515,42818,15862,21737,34604,39006,32643,35614,3311,2047,geog_1,Wana Tehsil,Rural,31,South Waziristan,Fata
761,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,4,0,0,0,0,2,2,3,3,4,4,4,0,0,geog_1,Toi Khulla Tehsil,Rural,31,South Waziristan,Fata
762,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Wana Tehsil,Urban,31,South Waziristan,Fata
763,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,18,0,0,0,0,3,3,4,14,17,17,18,2,1,geog_1,Wana Tehsil,Rural,31,South Waziristan,Fata
764,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,1,0,0,0,0,0,0,1,1,1,1,1,0,0,geog_1,Serwekai Tehsil,Rural,31,South Waziristan,Fata
765,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Tiarza Tehsil,Urban,31,South Waziristan,Fata
766,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ladha Tehsil,Urban,31,South Waziristan,Fata
767,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,7,0,0,0,0,0,0,0,1,5,4,7,4,2,geog_1,Sararogha Tehsil,Rural,31,South Waziristan,Fata
768,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Tiarza Tehsil,Rural,31,South Waziristan,Fata
769,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,11,0,0,0,0,0,0,2,8,11,11,11,1,0,geog_1,Birmil Tehsil,Rural,31,South Waziristan,Fata
770,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,2,0,0,0,0,0,0,0,0,2,2,2,0,0,geog_1,Makin Tehsil,Rural,31,South Waziristan,Fata
771,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Serwekai Tehsil,Urban,31,South Waziristan,Fata
772,tbl_05,Gender_Age_Group_Population,Census2017,Female,53029,1410,9401,18911,27543,26256,9377,13651,22546,25405,21508,23445,2127,1344,geog_1,Utman Khel Tehsil,Rural,32,Bajaur,Fata
773,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Utman Khel Tehsil,Urban,32,Bajaur,Fata
774,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mamund Tehsil,Urban,32,Bajaur,Fata
775,tbl_05,Gender_Age_Group_Population,Census2017,Female,1420,42,240,494,735,725,261,335,566,673,571,637,78,43,geog_1,Bar Chamer Kand Tehsil,Rural,32,Bajaur,Fata
776,tbl_05,Gender_Age_Group_Population,Census2017,Female,133083,3541,24444,49107,69327,64743,22474,32854,55199,62876,54483,59423,5500,3494,geog_1,Salarzai Tehsil,Rural,32,Bajaur,Fata
777,tbl_05,Gender_Age_Group_Population,Census2017,Female,119894,3358,21398,43148,62860,60636,21990,31183,50337,56999,48105,52156,4468,2851,geog_1,Khar Bajaur Tehsil,Rural,32,Bajaur,Fata
778,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Khar Bajaur Tehsil,Urban,32,Bajaur,Fata
779,tbl_05,Gender_Age_Group_Population,Census2017,Male,54217,1601,10234,20881,30581,28643,9578,13208,20955,23663,19720,21570,2017,1255,geog_1,Utman Khel Tehsil,Rural,32,Bajaur,Fata
780,tbl_05,Gender_Age_Group_Population,Census2017,Male,134539,3858,25673,52950,75496,69858,22818,32120,51505,58501,49984,54678,5185,3325,geog_1,Salarzai Tehsil,Rural,32,Bajaur,Fata
781,tbl_05,Gender_Age_Group_Population,Census2017,Male,1447,32,244,540,761,737,256,351,568,676,580,648,71,46,geog_1,Bar Chamer Kand Tehsil,Rural,32,Bajaur,Fata
782,tbl_05,Gender_Age_Group_Population,Census2017,Male,126965,3426,22542,46739,68982,66106,22531,31910,51260,57939,48978,53113,4537,2909,geog_1,Khar Bajaur Tehsil,Rural,32,Bajaur,Fata
783,tbl_05,Gender_Age_Group_Population,Census2017,Male,40578,1230,7788,15644,22652,20644,6701,9395,15516,17729,15104,16617,1706,1118,geog_1,Nawagai Tehsil,Rural,32,Bajaur,Fata
784,tbl_05,Gender_Age_Group_Population,Census2017,Male,159978,4552,28438,59767,86559,81740,27253,39759,64285,72884,62315,68128,6325,4169,geog_1,Mamund Tehsil,Rural,32,Bajaur,Fata
785,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Bar Chamer Kand Tehsil,Urban,32,Bajaur,Fata
786,tbl_05,Gender_Age_Group_Population,Census2017,Male,38312,1169,8220,16300,22448,19658,6118,8671,13930,15703,13597,14815,1289,849,geog_1,Barang Tehsil,Rural,32,Bajaur,Fata
787,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Salarzai Tehsil,Urban,32,Bajaur,Fata
788,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,2,0,0,0,0,1,1,1,2,2,2,2,0,0,geog_1,Utman Khel Tehsil,Rural,32,Bajaur,Fata
789,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Bar Chamer Kand Tehsil,Urban,32,Bajaur,Fata
790,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Khar Bajaur Tehsil,Urban,32,Bajaur,Fata
791,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mamund Tehsil,Urban,32,Bajaur,Fata
792,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,16,0,0,0,1,8,8,9,14,15,13,14,1,1,geog_1,Khar Bajaur Tehsil,Rural,32,Bajaur,Fata
793,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,37910,1072,7209,14319,20510,18805,6381,8902,14991,17257,14588,16038,1633,1020,geog_1,Nawagai Tehsil,Rural,32,Bajaur,Fata
794,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,53029,1410,9401,18911,27543,26256,9377,13651,22546,25405,21508,23445,2127,1344,geog_1,Utman Khel Tehsil,Rural,32,Bajaur,Fata
795,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,1420,42,240,494,735,725,261,335,566,673,571,637,78,43,geog_1,Bar Chamer Kand Tehsil,Rural,32,Bajaur,Fata
796,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Nawagai Tehsil,Urban,32,Bajaur,Fata
797,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Salarzai Tehsil,Urban,32,Bajaur,Fata
798,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Utman Khel Tehsil,Urban,32,Bajaur,Fata
799,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Khar Bajaur Tehsil,Urban,32,Bajaur,Fata
800,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Bar Chamer Kand Tehsil,Urban,32,Bajaur,Fata
801,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,38179,1099,7736,15089,20925,18766,6349,9267,15184,17106,14589,15870,1401,920,geog_1,Barang Tehsil,Rural,32,Bajaur,Fata
802,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mamund Tehsil,Urban,32,Bajaur,Fata
803,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,119894,3358,21398,43148,62860,60636,21990,31183,50337,56999,48105,52156,4468,2851,geog_1,Khar Bajaur Tehsil,Rural,32,Bajaur,Fata
804,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,151380,4295,27020,54861,78413,75203,27066,38816,63437,72101,61935,67637,6360,4122,geog_1,Mamund Tehsil,Rural,32,Bajaur,Fata
805,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Barang Tehsil,Urban,32,Bajaur,Fata
806,tbl_05,Gender_Age_Group_Population,Census2017,Female,37910,1072,7209,14319,20510,18805,6381,8902,14991,17257,14588,16038,1633,1020,geog_1,Nawagai Tehsil,Rural,32,Bajaur,Fata
807,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Barang Tehsil,Urban,32,Bajaur,Fata
808,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Salarzai Tehsil,Urban,32,Bajaur,Fata
809,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Bar Chamer Kand Tehsil,Urban,32,Bajaur,Fata
810,tbl_05,Gender_Age_Group_Population,Census2017,Female,38179,1099,7736,15089,20925,18766,6349,9267,15184,17106,14589,15870,1401,920,geog_1,Barang Tehsil,Rural,32,Bajaur,Fata
811,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Nawagai Tehsil,Urban,32,Bajaur,Fata
812,tbl_05,Gender_Age_Group_Population,Census2017,Female,151380,4295,27020,54861,78413,75203,27066,38816,63437,72101,61935,67637,6360,4122,geog_1,Mamund Tehsil,Rural,32,Bajaur,Fata
813,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Salarzai Tehsil,Urban,32,Bajaur,Fata
814,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Nawagai Tehsil,Urban,32,Bajaur,Fata
815,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Utman Khel Tehsil,Urban,32,Bajaur,Fata
816,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Barang Tehsil,Urban,32,Bajaur,Fata
817,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mamund Tehsil,Urban,32,Bajaur,Fata
818,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Khar Bajaur Tehsil,Urban,32,Bajaur,Fata
819,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,6,0,0,0,1,4,4,5,6,6,4,4,0,0,geog_1,Nawagai Tehsil,Rural,32,Bajaur,Fata
820,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,1,0,0,0,0,0,0,0,0,0,0,1,1,1,geog_1,Bar Chamer Kand Tehsil,Rural,32,Bajaur,Fata
821,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,2,0,0,0,0,1,1,1,2,2,1,1,0,0,geog_1,Barang Tehsil,Rural,32,Bajaur,Fata
822,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Barang Tehsil,Urban,32,Bajaur,Fata
823,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,15,0,0,0,2,9,9,9,12,14,12,13,2,1,geog_1,Mamund Tehsil,Rural,32,Bajaur,Fata
824,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Nawagai Tehsil,Urban,32,Bajaur,Fata
825,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,14,0,0,0,1,5,5,7,11,12,10,12,3,2,geog_1,Salarzai Tehsil,Rural,32,Bajaur,Fata
826,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Utman Khel Tehsil,Urban,32,Bajaur,Fata
827,tbl_05,Gender_Age_Group_Population,Census2017,Female,116212,2467,12393,24289,37006,43642,21209,31390,61119,73478,63591,74549,11473,7908,geog_1,Pindi Gheb Tehsil,Rural,39,Attock,Punjab
828,tbl_05,Gender_Age_Group_Population,Census2017,Female,31174,710,4147,7864,11841,13056,5997,8733,16194,18816,16399,18134,1872,1152,geog_1,Hasan Abdal Tehsil,Urban,39,Attock,Punjab
829,tbl_05,Gender_Age_Group_Population,Census2017,Female,25104,583,2869,5582,8488,9860,4715,6987,13384,15762,13609,15517,1996,1328,geog_1,Jand Tehsil,Urban,39,Attock,Punjab
